FanGraph ID,Player,Carded Team,Position
5486,"Almonte, Abraham",NYN,DH
1744,"Cabrera, Miguel",DEA,DH
17838,"Calhoun, Willie",NYA,DH
22842,"Canario, Alexander",CHN,DH
8090,"Carpenter, Matt",SDN,DH
19906,"Castillo, Diego",ARN,DH
2434,"Cruz, Nelson",SDN,DH
3298,"Culberson, Charlie",ATN,DH
15585,"Ford, Mike",SEA,DH
19458,"Hummel, Cooper",SEA,DH
12371,"La Stella, Tommy",SEA,DH
19508,"Lewis, Kyle",ARN,DH
20054,"Madris, Bligh",HOA,DH
24451,"Martinez, J.P.",TEA,DH
12775,"Miller, Brad",TEA,DH
14566,"Reyes, Franmil",KCA,DH
9929,"Ruf, Darin",MLN/SFN,DH
23552,"Seagle, Chandler",SDN,DH
19294,"Solak, Nick",DEA/ATN,DH
14130,"Vogelbach, Daniel",NYN,DH
13590,"Winker, Jesse",MLN,DH
19864,"Adams, Riley",WAN,C
12180,"Alfaro, Jorge",BOA/CON,C
12158,"Barnes, Austin",LAN,C
10200,"Barnhart, Tucker",CHN,C
19977,"Barrera, Tres",SLN,C
21524,"Bart, Joey",SFN,C
13854,"Bemboom, Anthony",BAA,C
10028,"Bethancourt, Christian",TBA,C
14968,"Caratini, Victor",MLN,C
12510,"Casali, Curt",CIN,C
19181,"Collins, Zack",CLA,C
24485,"Cropley, Tyler",KCA,C
19806,"Delay, Jason",PIN,C
24934,"Fry, David",CLA,C/1B
12981,"Gallagher, Cam",CLA,C
11368,"Grandal, Yasmani",CHA,C
14111,"Haase, Eric",CLA/DEA,C/LF
19842,"Hamilton, Caleb",BOA,C
12976,"Hedges, Austin",TEA/PIN,C
13897,"Heineman, Tyler",TOA/PIN,C
20599,"Herrera, Ivan",SLN,C
17040,"Herrera, Jose",ARN,C
22209,"Huff, Sam",TEA,C
19514,"Knizner, Andrew",SLN,C
21304,"Kolozsvary, Mark",BAA,C
25543,"Lee, Korey",CHA,C
5273,"Leon, Sandy",TEA,C
6887,"Maldonado, Martin",HOA,C
12859,"McCann, James",BAA,C
16403,"Mejia, Francisco",TBA,C
25643,"Millas, Drew",WAN,C
13499,"Murphy, Tom",SEA,C
13338,"Narvaez, Omar",NYN,C
13755,"Nido, Tomas",NYN,C
15941,"Nola, Austin",SDN,C
16680,"O'Keefe, Brian",SEA,C
19245,"Okey, Chris",LAA,C
20805,"Perez, Carlos",CHA,C
10642,"Perez, Carlos",OAA,C
12977,"Perez, Michael",NYN,C
2900,"Perez, Roberto",SFN,C
2829,"Pina, Manny",OAA,C
19859,"Pinto, Rene",TBA,C
20626,"Porter, Logan",KCA,C
25332,"Rodriguez, Endy",PIN,C
20287,"Rortvedt, Ben",NYA,C
25805,"Sabol, Blake",SFN,C/LF
21587,"Salazar, Cesar",HOA,C
19422,"Serven, Brian",CON,C
13723,"Stallings, Jacob",MMN,C
18067,"Stubbs, Garrett",PHN,C
18217,"Sullivan, Brett",SDN,C
19318,"Thaiss, Matt",LAA,C
15905,"Torrens, Luis",SEA/CHN,C
16953,"Tromp, Chadwick",ATN,C
9774,"Vazquez, Christian",MNA,C
17109,"Viloria, Meibrys",CLA,C
17161,"Wallach, Chad",LAA,C
15271,"Wynns, Austin",CON/LAN/SFN,C
18887,"Zavala, Seby",ARN/CHA,C
13265,"Zunino, Mike",CLA,C
11342,"Aguilar, Jesus",OAA,1B
21837,"Aranda, Jonathan",TBA,1B
21497,"Baker, Luken",SLN,1B
