FanGraph ID,Player,Carded Team,Position
18694,"Allard, Kolby",ATN,SP/RP
6895,"Anderson, Chase",CON/TBA,SP/RP
12880,"Anderson, Tyler",LAA,SP/RP
18864,"Avila, Pedro",SDN,SP/RP
25777,"Battenfield, Peyton",CLA,SP/RP
23150,"Bido, Osvaldo",PIN,SP/RP
19866,"Bielak, Brandon",HOA,SP/RP
14361,"Blach, Ty",CON,SP/RP
19407,"Blanco, Ronel",HOA,SP/RP
24607,"Bowlan, Jonathan",KCA,SP/RP
15440,"Boyd, Matthew",DEA,SP
27597,"Bradford, Cody",TEA,SP/RP
22543,"Bradley, Taj",TBA,SP/RP
5524,"Bumgarner, Madison",ARN,SP
23313,"Butto, Jose",NYN,SP/RP
6632,"Carrasco, Carlos",NYN,SP
27500,"Cecconi, Slade",ARN,SP/RP
13345,"Cessa, Luis",CIN,SP/RP
16401,"Chirinos, Yonny",ATN/TBA,SP/RP
22810,"Contreras, Roansy",PIN,SP/RP
9323,"Corbin, Patrick",WAN,SP
23165,"Cruz, Steven",KCA,SP/RP
6893,"Cueto, Johnny",MMN,SP/RP
13183,"Davies, Zach",ARN,SP
25862,"Davis, Noah",CON,SP/RP
14844,"Dermody, Matt",BOA,SP
13050,"DeSclafani, Anthony",SFN,SP/RP
29928,"Dodd, Dylan",ATN,SP
26257,"Estes, Joey",OAA,SP
19874,"Faedo, Alex",DEA,SP/RP
21446,"Feltner, Ryan",CON,SP
13896,"Flexen, Chris",CON/SEA,SP/RP
21212,"France, J.P.",HOA,SP/RP
25636,"Gaddis, Hunter",CLA,SP/RP
17149,"German, Domingo",NYA,SP/RP
26048,"Gipson-Long, Sawyer",DEA,SP
15467,"Gonzales, Marco",SEA,SP
23221,"Grove, Michael",LAN,SP/RP
27470,"Hancock, Emerson",SEA,SP
21520,"Harris, Hogan",OAA,SP/RP
26285,"Henry, Tommy",ARN,SP/RP
19206,"Hudson, Dakota",SLN,SP/RP
23301,"Junk, Janson",MLN,SP/RP
18331,"Kaprielian, James",OAA,SP/RP
15734,"Keller, Brad",KCA,SP/RP
17877,"Kennedy, Brett",CIN,SP/RP
9434,"Keuchel, Dallas",MNA,SP/RP
2429,"Kluber, Corey",BOA,SP/RP
19350,"Kremer, Dean",BAA,SP
17969,"Lambert, Peter",CON,SP/RP
19316,"Lauer, Eric",MLN,SP/RP
15823,"Littell, Zack",TBA/BOA,SP/RP
19320,"Lucchesi, Joey",NYN,SP
21537,"Lynch IV, Daniel",KCA,SP
16358,"Mahle, Tyler",MNA,SP
22176,"McGee, Easton",SEA,SP
21318,"Megill, Tylor",NYN,SP
7608,"Milone, Tommy",SEA,SP
20167,"Muller, Kyle",OAA,SP/RP
26253,"Nelson, Ryne",ARN,SP/RP
27646,"Ortiz, Luis L.",PIN,SP/RP
18376,"Overton, Connor",CIN,SP
14764,"Parsons, Wes",TOA,SP
27768,"Perez, Eury",MMN,SP
27782,"Pfaadt, Brandon",ARN,SP/RP
27649,"Phillips, Connor",CIN,SP
23191,"Plassmeyer, Michael",PHN,SP
19979,"Plesac, Zach",CLA,SP
25977,"Priester, Quinn",PIN,SP/RP
11486,"Ray, Robbie",SEA,SP
12317,"Rea, Colin",MLN,SP/RP
24581,"Richardson, Lyon",CIN,SP
22286,"Rogers, Trevor",MMN,SP
24602,"Rom, Drew",SLN,SP
20009,"Rosenberg, Kenny",LAA,SP/RP
12499,"Rucinski, Drew",OAA,SP
14444,"Ryu, Hyun Jin",TOA,SP
19205,"Scholtens, Jesse",CHA,SP/RP
19695,"Seabold, Connor",CON,SP/RP
15488,"Senzatela, Antonio",CON,SP
27472,"Shuster, Jared",ATN,SP
11760,"Smyly, Drew",CHN,SP/RP
18383,"Soroka, Michael",ATN,SP/RP
27685,"Spiers, Carson",CIN,SP/RP
17677,"Springs, Jeffrey",TBA,SP
27792,"Stone, Gavin",LAN,SP/RP
25650,"Stoudt, Levi",CIN,SP/RP
19911,"Suarez, Jose",LAA,SP/RP
11762,"Syndergaard, Noah",CLA/LAN,SP
